7, QRV: Battery{LMAO 5 Module,LMAO 190 Module}, PT00288878, GP00004656, false. true
5, QRV: Car Type{Venti,Tall} AND Handed Drive{LHD }, CAY00003307, GP00003545, false. true
6, QRV: Car Type{Venti}, PT00025092, CAY00003186, false. false
6, QRV: Car Type{Grande} AND Handed Drive{RHD }, PT00084561, CAY00009041, false. false
8, QRV: Battery{LMAO 5 Module,LMAO 190 Module}, PT00003256, PT00021673, true. true
6, QRV: Car Type{Venti} AND Handed Drive{LHD }, PT00017542, CAY00006913, false. true
8, QRV: Car Type{Tall}, SC00016083, PT00075713, false. false
9, QRV: Battery{LMAO 5 Module,LMAO 190 Module}, PT00067250, PT00056245, true. true
7, QRV: Car Type{Tall}, PT00021194, PT00025121, true. true
9, QRV: Handed Drive{LHD } AND Car Type{Tall,Venti}, PT00032122, PT00029600, false. false
6, QRV: Car Type{Grande}, PT00073226, CAY00002407, false. true
8, QRV: Handed Drive{RHD } AND Car Type{Grande}, PT00017755, PT00018268, false. false
6, QRV: Car Type{Tall}, PT00091383, CAY00010783, false. false
6, QRV: Car Type{Grande} AND Handed Drive{LHD }, PT00097655, CAY00002745, false. false
8, QRV: Car Type{Grande} AND Handed Drive{RHD }, PT00072165, PT00021857, false. false
6, QRV: Car Type{Tall} AND Handed Drive{LHD } OR Car Type{Venti} AND Handed Drive{LHD }, PT00137724, CAY00009995, false. false
8, QRV: Car Type{Grande} AND Handed Drive{RHD }, PT00161703, PT00274586, true. true
6, QRV: Handed Drive{LHD } AND Car Type{Grande}, PT00019628, CAY00006514, false. true
7, QRV: Car Type{Grande} AND Handed Drive{LHD }, PT00022865, PT00013042, true. true
8, QRV: Battery{LMAO 5 Module,LMAO 190 Module}, PT00105535, PT00019175, false. false
6, QRV: Car Type{Grande}, PT00018840, CAY00003873, false. false
7, QRV: Battery{LMAO 5 Module,LMAO 190 Module}, PT00603338, GP00001948, false. false
7, QRV: Handed Drive{RHD } AND Car Type{Grande}, PT00015718, PT00024932, true. true
7, QRV: Handed Drive{RHD } AND Car Type{Grande}, PT00141805, PT00022947, false. false
7, QRV: Handed Drive{RHD } AND Car Type{Grande}, PT00017993, PT00018563, true. true
5, QRV: Car Type{Grande} AND Handed Drive{RHD }, CAY00019804, GP00005889, false. false
6, QRV: Car Type{Grande} AND Handed Drive{RHD }, PT00090845, CAY00015152, false. false
6, QRV: Handed Drive{RHD } AND Car Type{Grande}, PT00020721, CAY00002407, false. false
7, QRV: Car Type{Tall,Venti} AND Handed Drive{LHD }, PT00134000, PT00104823, true. true
10, QRV: Battery{LMAO 5 Module,LMAO 190 Module}, PT01597033, PT01550431, false. false
9, QRV: Car Type{Grande} AND Handed Drive{RHD }, PT00079838, PT00020501, false. false
7, QRV: Car Type{Venti}, PT00070361, PT00015053, false. false
6, QRV: Car Type{Venti} AND Handed Drive{LHD } OR Car Type{Tall} AND Handed Drive{LHD }, PT00026601, CAY00007918, false. false
5, QRV: Car Type{Tall} AND Handed Drive{LHD } OR Car Type{Venti} AND Handed Drive{LHD }, CAY00001613, GP00004391, false. false
7, QRV: Car Type{Venti} AND Handed Drive{LHD }, PT00066661, PT00097238, false. false
6, QRV: Car Type{Grande} AND Handed Drive{LHD }, PT00020619, CAY00003563, false. false
10, QRV: Car Type{Grande} AND Handed Drive{LHD }, PT00093551, PT00093903, false. false
6, QRV: Car Type{Tall,Venti} AND Handed Drive{LHD }, PT00025186, CAY00007138, false. true
5, QRV: Car Type{Venti} AND Handed Drive{LHD }, CAY00003139, GP00008718, false. false
6, QRV: Car Type{Tall}, PT00071245, CAY00005377, false. true
5, QRV: Car Type{Grande} AND Handed Drive{RHD }, CAY00002401, GP00008983, false. false
6, QRV: Car Type{Tall}, PT00072723, CAY00007551, false. false
7, QRV: Car Type{Grande}, PT00072798, PT00014830, true. true
10, QRV: Battery{LMAO 5 Module,LMAO 190 Module}, PT00022208, PT01550431, false. false
7,  , PT00298596, PT00102408, true. true
7, QRV: Car Type{Grande}, SC00013676, PT00093573, true. true
5, QRV: Car Type{Venti}, CAY00005309, GP00010473, false. false
7, QRV: Car Type{Grande}, PT00090123, PT00020243, true. true
9, QRV: Battery{LMAO 5 Module,LMAO 190 Module}, PT00398137, PT00143340, true. true
3,  , SB00007985, SY00002272, false. true
6, QRV: Car Type{Grande} AND Handed Drive{RHD }, PT00017514, CAY00002421, false. false
2, QRV: Battery{LMAO 5 Module} AND Wheel Drive{Front Wheel Drive }, SY00005795, EV00004608, false. true
9, QRV: Car Type{Tall,Venti} AND Motors{Accord Dual-motor FWD }, PT00011269, PT00019439, false. false
9, QRV: Car Type{Grande} AND Handed Drive{RHD }, PT00025765, PT00025763, false. false
7, QRV: USA{No}, SC00000575, PT00090063, true. true
7, QRV: Handed Drive{RHD } AND Car Type{Grande}, SC00013091, PT00017325, true. true
7, QRV: Car Type{Tall,Venti,Grande}, PT00010388, PT00003677, true. true
5,  , CAY00004770, GP00005483, false. false
7, QRV: Car Type{Venti}, PT00017782, PT00019132, false. false
6, QRV: Handed Drive{RHD } AND Car Type{Grande}, PT00017055, CAY00007139, false. true
5, QRV: Car Type{Grande} AND Handed Drive{RHD }, CAY00010567, GP00008799, false. false
7, QRV: Car Type{Grande} AND Handed Drive{RHD }, PT00102051, PT00094366, true. true
6, QRV: Car Type{Venti,Tall}, PT00090216, CAY00002287, false. false
6, QRV: Car Type{Tall,Venti} AND Handed Drive{LHD }, PT00018145, CAY00010729, false. false
8, QRV: Handed Drive{LHD } AND Car Type{Venti,Tall}, PT00013928, PT00021049, false. false
6, QRV: Car Type{Grande} AND Handed Drive{RHD }, PT00090873, CAY00016159, false. false
6, QRV: Car Type{Grande} AND Handed Drive{RHD }, PT00104885, CAY00008452, false. false
7, QRV: Car Type{Tall}, PT00057223, PT00077810, true. true
8, QRV: Car Type{Tall,Venti} AND Motors{Accord Dual-motor FWD }, PT00094260, PT00094650, true. true
7, QRV: Handed Drive{LHD } AND Car Type{Grande}, PT00056266, PT00071383, true. true
7, QRV: Car Type{Venti} AND Handed Drive{LHD }, PT00023345, PT00019535, true. true
7, QRV: USA{No} AND Car Type{Grande}, PT00069803, PT00026025, true. true
7, QRV: Battery{LMAO 5 Module,LMAO 190 Module}, PT00018283, GP00003311, false. true
9, QRV: Handed Drive{LHD } AND Car Type{Venti} OR Handed Drive{LHD } AND Car Type{Tall}, PT00146720, PT00145535, false. false
6, QRV: Car Type{Grande}, SC00005435, CAY00002435, false. false
5, QRV: Car Type{Tall} AND Handed Drive{LHD } OR Car Type{Venti} AND Handed Drive{LHD }, CAY00001857, GP00004299, false. true
6, QRV: Car Type{Venti}, PT00023873, CAY00007315, false. false
8, QRV: Handed Drive{LHD } AND Car Type{Venti}, PT00071808, PT00004281, true. true
7,  , PT00079613, PT00021096, true. true
6, QRV: Handed Drive{LHD } AND Car Type{Grande}, PT00025199, CAY00008666, false. false
7, QRV: Handed Drive{LHD } AND Car Type{Venti}, PT00015686, PT00015412, true. true
7, QRV: Car Type{Venti} AND Handed Drive{LHD }, PT00013506, PT00015956, true. true
7, QRV: Car Type{Tall,Venti}, PT00019276, PT00015324, true. true
8, QRV: Battery{LMAO 5 Module,LMAO 190 Module}, PT00564083, PT00823988, true. true
6,  , PT00315865, CAY00001841, false. true
6, QRV: Car Type{Tall,Venti} AND Handed Drive{LHD }, PT00017439, CAY00008432, false. true
6, QRV: Car Type{Venti}, PT00155269, CAY00008631, false. false
7, QRV: Handed Drive{LHD } AND Car Type{Grande}, PT00056128, PT00073903, true. true
5, QRV: Car Type{Grande} AND Handed Drive{RHD }, CAY00018706, GP00005889, false. false
